omop_concept_id,ingredient_name,cem_n_conditions,cem_n_faers_pairs,cem_n_semmeddb_pairs,cem_faers_case_count_sum,cem_faers_prr_median
875818,Roxadustat,24.0,0.0,24.0,0.0,
42899843,Rubus fruticosus leaf extract,1.0,0.0,1.0,0.0,
19071805,Ruta graveolens preparation,1.0,0.0,1.0,0.0,
1363981,S-adenosylmethionine,18.0,18.0,0.0,18.0,13.728455
19098545,SOY LECITHIN,25.0,25.0,0.0,30.0,13.75296
991855,Saccharomyces boulardii,272.0,272.0,0.0,587.0,2.938185
982105,Saccharomyces boulardii lyo,371.0,371.0,0.0,952.0,2.26715
19136028,Saccharomyces cerevisiae,224.0,224.0,0.0,445.0,3.25794
19136030,"Saline Solution, Hypertonic",147.0,147.0,0.0,338.0,4.92635
42899712,Salix alba bark extract,18.0,18.0,0.0,20.0,11.015705
523202,Salmonella typhi Ty21a live antigen,14.0,14.0,0.0,16.0,52.82852
42899718,Salvia miltiorrhiza root extract,49.0,0.0,49.0,0.0,
44507633,Salvia officinalis whole extract,1.0,0.0,1.0,0.0,
19030860,Sarracenia purpurea preparation,29.0,29.0,0.0,30.0,13.65714
42899748,Schisandra chinensis fruit extract,2.0,0.0,2.0,0.0,
1377445,Schizandra preparation,28.0,0.0,28.0,0.0,
42899749,Schizonepeta tenuifolia flowering top extract,4.0,0.0,4.0,0.0,
960820,Senna leaf extract,1.0,0.0,1.0,0.0,
992409,Senna leaves,14.0,14.0,0.0,14.0,21.673995
19015633,Siberian ginseng preparation,2.0,0.0,2.0,0.0,
19098649,Siberian ginseng root,8.0,8.0,0.0,8.0,129.10301
876348,Sitaxentan,2.0,0.0,2.0,0.0,
19136047,Smallpox Vaccine,27.0,27.0,0.0,32.0,10.73979
19081343,"Sodium Chloride, Bacteriostatic",75.0,75.0,0.0,83.0,9.63149
36964175,Sodium perchlorate,1.0,0.0,1.0,0.0,
43013842,Solanum lycopersicum extract,5.0,0.0,5.0,0.0,
42900086,Sophora flavescens root extract,1.0,0.0,1.0,0.0,
1360890,Spirulina,136.0,136.0,0.0,203.0,5.210495
876830,Squill,1.0,0.0,1.0,0.0,
1398039,St. John's wort extract,1.0,1.0,0.0,2.0,210.80078
42900111,Staphylococcus aureus,3.0,3.0,0.0,3.0,63.86341
40174023,Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine,23.0,23.0,0.0,26.0,69.5677
529072,Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine,61.0,61.0,0.0,96.0,20.84416
40163710,Streptococcus pneumoniae type 9V capsular polysaccharide antigen,577.0,577.0,0.0,1750.0,2.41875
42900203,Streptococcus pyogenes,19.0,19.0,0.0,21.0,20.0281
42900127,Sus scrofa blood preparation,1.0,0.0,1.0,0.0,
42900142,Sus scrofa embryo preparation,1.0,0.0,1.0,0.0,
42900144,Sus scrofa eye preparation,1.0,0.0,1.0,0.0,
43012989,Symphytum uplandicum leaf extract,2.0,0.0,2.0,0.0,
1718671,Terminalia catappa leaf extract,2.0,0.0,2.0,0.0,
42900212,Thymus oil,9.0,9.0,0.0,11.0,37.54107
43526082,Thymus vulgaris whole extract,3.0,0.0,3.0,0.0,
35896009,Tilmanocept,1.0,0.0,1.0,0.0,
40161488,Timothy grass pollen extract,45.0,45.0,0.0,89.0,7.95724
40221258,Tinospora cordifolia stem extract,1.0,0.0,1.0,0.0,
43525779,Tribulus terrestris extract,1.0,0.0,1.0,0.0,
19057718,Trichophyton antigen,1.0,1.0,0.0,1.0,54263.85689
36930299,Turoctocog alfa pegol,2.0,0.0,2.0,0.0,
1306837,Ubiquinone,50.0,50.0,0.0,59.0,8.327345000000001
42904042,Ulva lactuca extract,1.0,0.0,1.0,0.0,
42900054,Urtica dioica leaf extract,2.0,0.0,2.0,0.0,
42900055,Urtica dioica root extract,2.0,0.0,2.0,0.0,
1315629,Urtica preparation,3.0,0.0,3.0,0.0,
42900063,Vaccinium angustifolium leaf extract,1.0,0.0,1.0,0.0,
42900065,Vaccinium myrtillus leaf extract,1.0,1.0,0.0,1.0,3069.57043
837254,Vernakalant,2.0,0.0,2.0,0.0,
43533021,Vigna radiata extract,1.0,0.0,1.0,0.0,
40687530,Vinflunine,1.0,0.0,1.0,0.0,
43013852,Viola odorata extract,1.0,0.0,1.0,0.0,
42900022,Viscum album leaf extract,16.0,16.0,0.0,22.0,34.04135
1330974,Viscum album preparation,3.0,0.0,3.0,0.0,
46221761,Vitamin B9,26.0,26.0,0.0,28.0,26.437765
19127444,Vitis extract,1.0,0.0,1.0,0.0,
43525901,Vitis vinifera leaf extract,33.0,33.0,0.0,35.0,10.1219
42900068,Vitis vinifera seed extract,5.0,5.0,0.0,5.0,100.35679
42899977,West Indian lemongrass oil,1.0,0.0,1.0,0.0,
42900000,Withania somnifera root extract,3.0,0.0,3.0,0.0,
559532,Yellow Fever Vaccine,79.0,79.0,0.0,120.0,5.7712
1736971,abacavir,1286.0,1286.0,0.0,13587.0,1.56123
